2023-10-28 04:26:45: Client = OangDiE (ID: 200086), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 07:28:44: Client = <color=#0486dc>[GM]</color> NhatChiMai (ID: 200095), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 07:44:58: Client = <color=#0486dc>[GM]</color> MaOiMaMa (ID: 200096), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 07:47:54: Client = <color=#0486dc>[GM]</color> ThieuLan (ID: 200097), DeviceModel = SM-N971N, DeviceGeneration = SM-N971N
2023-10-28 07:56:10: Client = <color=#0486dc>[GM]</color> ThieuLan (ID: 200097), DeviceModel = SM-N971N, DeviceGeneration = SM-N971N
2023-10-28 07:57:21: Client = <color=#0486dc>[GM]</color> ThienDzuong (ID: 200098), DeviceModel = SM-N971N, DeviceGeneration = SM-N971N
2023-10-28 08:00:19: Client = <color=#0486dc>[GM]</color> ThieuLan (ID: 200097), DeviceModel = SM-N971N, DeviceGeneration = SM-N971N
2023-10-28 08:02:57: Client = <color=#0486dc>[GM]</color> ThienDzuong (ID: 200098), DeviceModel = SM-N971N, DeviceGeneration = SM-N971N
2023-10-28 08:11:11: Client = <color=#0486dc>[GM]</color> TVVVVVVV (ID: 200099), DeviceModel = SM-N971N, DeviceGeneration = SM-N971N
2023-10-28 08:39:24: Client = <color=#0486dc>[GM]</color> NguDoc (ID: 200100), DeviceModel = SM-N971N, DeviceGeneration = SM-N971N
2023-10-28 08:44:49: Client = <color=#0486dc>[GM]</color> ThienVuong (ID: 200101), DeviceModel = SM-N971N, DeviceGeneration = SM-N971N
2023-10-28 08:47:03: Client = <color=#0486dc>[GM]</color> ThienVuongNu (ID: 200102), DeviceModel = SM-N971N, DeviceGeneration = SM-N971N
2023-10-28 08:48:26: Client = <color=#0486dc>[GM]</color> ThienVuongNu (ID: 200102), DeviceModel = SM-N971N, DeviceGeneration = SM-N971N
2023-10-28 09:03:47: Client = <color=#0486dc>[GM]</color> ThienVuongNu (ID: 200102), DeviceModel = SM-N971N, DeviceGeneration = SM-N971N
2023-10-28 09:04:01: Client = <color=#0486dc>[GM]</color> ThienVuongNu (ID: 200102), DeviceModel = SM-N971N, DeviceGeneration = SM-N971N
2023-10-28 09:17:03: Client = <color=#0486dc>[GM]</color> ThienVuong (ID: 200101), DeviceModel = SM-N971N, DeviceGeneration = SM-N971N
2023-10-28 09:17:29: Client = <color=#0486dc>[GM]</color> ThienVuong (ID: 200101), DeviceModel = SM-N971N, DeviceGeneration = SM-N971N
2023-10-28 13:05:14: Client = <color=#0486dc>[GM]</color> 222222222222 (ID: 200103), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 13:06:57: Client = <color=#0486dc>[GM]</color> MaOiMaMa (ID: 200096), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 13:08:03: Client = <color=#0486dc>[GM]</color> MaOiMaMa (ID: 200096), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 13:13:10: Client = <color=#0486dc>[GM]</color> MatMatMat (ID: 200104), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 13:15:30: Client = <color=#0486dc>[GM]</color> AnhEMM (ID: 200105), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 13:25:03: Client = <color=#0486dc>[GM]</color> AnhEMM (ID: 200105), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 13:27:32: Client = <color=#0486dc>[GM]</color> AnhEMM (ID: 200105), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 13:28:59: Client = <color=#0486dc>[GM]</color> AnhEMM (ID: 200105), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 13:29:32: Client = <color=#0486dc>[GM]</color> AnhEMM (ID: 200105), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 13:29:48: Client = <color=#0486dc>[GM]</color> AnhEMM (ID: 200105), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 13:36:26: Client = <color=#0486dc>[GM]</color> 222222222222 (ID: 200103), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 13:38:10: Client = <color=#0486dc>[GM]</color> 111111111111 (ID: 200106), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 13:50:47: Client = <color=#0486dc>[GM]</color> AnhEMM (ID: 200105), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 14:01:26: Client = <color=#0486dc>[GM]</color> ThieuLan (ID: 200097), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 14:05:28: Client = <color=#0486dc>[GM]</color> 111111111111 (ID: 200106), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 14:07:39: Client = <color=#0486dc>[GM]</color> 111111111111 (ID: 200106), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 14:20:58: Client = <color=#0486dc>[GM]</color> 333333333333 (ID: 200107), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 14:24:50: Client = <color=#0486dc>[GM]</color> 444444444444 (ID: 200108), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 14:27:00: Client = <color=#0486dc>[GM]</color> 333333333333 (ID: 200107), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 14:28:55: Client = <color=#0486dc>[GM]</color> 555555555 (ID: 200109), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 14:32:45: Client = <color=#0486dc>[GM]</color> 666666666 (ID: 200110), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 14:35:17: Client = <color=#0486dc>[GM]</color> 555555555 (ID: 200109), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 14:37:14: Client = <color=#0486dc>[GM]</color> 777777777 (ID: 200111), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 14:46:54: Client = <color=#0486dc>[GM]</color> 888888888 (ID: 200112), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 14:53:42: Client = <color=#0486dc>[GM]</color> 999999999 (ID: 200113), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 14:54:01: Client = <color=#0486dc>[GM]</color> dfkhiq212 (ID: 200114), DeviceModel = SM-G955N, DeviceGeneration = SM-G955N
2023-10-28 14:54:26: Client = <color=#0486dc>[GM]</color> xxxcxcnbh (ID: 200115), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 14:57:33: Client = <color=#0486dc>[GM]</color> fghsdrgd (ID: 200116), DeviceModel = SM-G955N, DeviceGeneration = SM-G955N
2023-10-28 15:04:27: Client = <color=#0486dc>[GM]</color> fghsdrgd (ID: 200116), DeviceModel = SM-G955N, DeviceGeneration = SM-G955N
2023-10-28 15:11:49: Client = <color=#0486dc>[GM]</color> fghsdrgd (ID: 200116), DeviceModel = SM-G955N, DeviceGeneration = SM-G955N
2023-10-28 15:41:32: Client = <color=#0486dc>[GM]</color> fghsdrgd (ID: 200116), DeviceModel = SM-G955N, DeviceGeneration = SM-G955N
2023-10-28 15:53:08: Client = <color=#0486dc>[GM]</color> dfkhiq212 (ID: 200114), DeviceModel = SM-G955N, DeviceGeneration = SM-G955N
2023-10-28 15:55:21: Client = <color=#0486dc>[GM]</color> 999999999 (ID: 200113), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 15:56:45: Client = <color=#0486dc>[GM]</color> 999999999 (ID: 200113), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 15:56:57: Client = <color=#0486dc>[GM]</color> 999999999 (ID: 200113), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 15:57:27: Client = <color=#0486dc>[GM]</color> 999999999 (ID: 200113), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 15:58:06: Client = <color=#0486dc>[GM]</color> 999999999 (ID: 200113), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 15:58:33: Client = <color=#0486dc>[GM]</color> 999999999 (ID: 200113), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 15:58:55: Client = <color=#0486dc>[GM]</color> 999999999 (ID: 200113), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 17:03:38: Client = <color=#0486dc>[GM]</color> VaiClin (ID: 200117), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 17:11:15: Client = <color=#0486dc>[GM]</color> VaiClin (ID: 200117), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 17:14:48: Client = <color=#0486dc>[GM]</color> 222222222222 (ID: 200103), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 17:15:53: Client = <color=#0486dc>[GM]</color> dfkhiq212 (ID: 200114), DeviceModel = SM-G955N, DeviceGeneration = SM-G955N
2023-10-28 17:25:06: Client = <color=#0486dc>[GM]</color> dfkhiq212 (ID: 200114), DeviceModel = SM-G955N, DeviceGeneration = SM-G955N
2023-10-28 17:35:15: Client = <color=#0486dc>[GM]</color> DzayMuaDi (ID: 200118), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 17:37:59: Client = <color=#0486dc>[GM]</color> DzayMuaDi (ID: 200118), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 17:39:15: Client = <color=#0486dc>[GM]</color> aDfsdafs (ID: 200119), DeviceModel = SM-G955N, DeviceGeneration = SM-G955N
2023-10-28 17:41:06: Client = <color=#0486dc>[GM]</color> aDfsdafs (ID: 200119), DeviceModel = SM-G955N, DeviceGeneration = SM-G955N
2023-10-28 17:41:13: Client = <color=#0486dc>[GM]</color> 222222222222 (ID: 200103), DeviceModel = iPhone12,5, DeviceGeneration = iPhone11ProMax
2023-10-28 17:42:45: Client = <color=#0486dc>[GM]</color> 222222222222 (ID: 200103), DeviceModel = iPhone12,5, DeviceGeneration = iPhone11ProMax
2023-10-28 18:00:23: Client = <color=#0486dc>[GM]</color> 111111111111 (ID: 200106), DeviceModel = iPhone12,5, DeviceGeneration = iPhone11ProMax
2023-10-28 18:01:44: Client = <color=#0486dc>[GM]</color> 111111111111 (ID: 200106), DeviceModel = iPhone12,5, DeviceGeneration = iPhone11ProMax
2023-10-28 18:04:52: Client = <color=#0486dc>[GM]</color> aDfsdafs (ID: 200119), DeviceModel = SM-G955N, DeviceGeneration = SM-G955N
2023-10-28 18:06:02: Client = <color=#0486dc>[GM]</color> 222222222222 (ID: 200103), DeviceModel = iPhone12,5, DeviceGeneration = iPhone11ProMax
2023-10-28 18:21:46: Client = <color=#0486dc>[GM]</color> dfkhiq212 (ID: 200114), DeviceModel = SM-G955N, DeviceGeneration = SM-G955N
2023-10-28 18:28:38: Client = <color=#0486dc>[GM]</color> 111111111111 (ID: 200106), DeviceModel = iPhone12,5, DeviceGeneration = iPhone11ProMax
2023-10-28 18:46:59: Client = <color=#0486dc>[GM]</color> aDfsdafs (ID: 200119), DeviceModel = SM-G955N, DeviceGeneration = SM-G955N
2023-10-28 19:07:26: Client = <color=#0486dc>[GM]</color> ThieuLan (ID: 200097), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 19:08:58: Client = <color=#0486dc>[GM]</color> 222222222222 (ID: 200103), DeviceModel = iPhone12,5, DeviceGeneration = iPhone11ProMax
2023-10-28 19:11:22: Client = <color=#0486dc>[GM]</color> 222222222222 (ID: 200103), DeviceModel = iPhone12,5, DeviceGeneration = iPhone11ProMax
2023-10-28 19:30:06: Client = <color=#0486dc>[GM]</color> PhiPhuiPhi (ID: 200120), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 19:31:21: Client = <color=#0486dc>[GM]</color> PhiPhuiPhi (ID: 200120), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 19:36:49: Client = <color=#0486dc>[GM]</color> MeGaiMaiGu (ID: 200121), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 19:37:45: Client = <color=#0486dc>[GM]</color> 111111111111 (ID: 200106), DeviceModel = iPhone12,5, DeviceGeneration = iPhone11ProMax
2023-10-28 19:38:04: Client = <color=#0486dc>[GM]</color> MeGaiMaiGu (ID: 200121), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 20:06:29: Client = <color=#0486dc>[GM]</color> MeGaiMaiGu (ID: 200121), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 20:06:46: Client = <color=#0486dc>[GM]</color> MeGaiMaiGu (ID: 200121), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 18:46:18: Client = KTHaoKiem (ID: 200002), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 18:46:35: Client = AdminHaoKiem (ID: 200001), DeviceModel = SM-G9880, DeviceGeneration = SM-G9880
2023-10-28 18:48:54: Client = AdminHaoKiem (ID: 200001), DeviceModel = SM-G9880, DeviceGeneration = SM-G9880
2023-10-28 18:49:23: Client = KTHaoKiem (ID: 200002), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 18:50:09: Client = 222222222222 (ID: 200003), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 18:55:20: Client = AdminHaoKiem (ID: 200001), DeviceModel = SM-G9880, DeviceGeneration = SM-G9880
2023-10-28 18:57:37: Client = mimiiso (ID: 200004), DeviceModel = SM-G975U1, DeviceGeneration = SM-G975U1
2023-10-28 18:59:28: Client = <color=#0486dc>[GM]</color> AdminHaoKiem (ID: 200001), DeviceModel = SM-G9880, DeviceGeneration = SM-G9880
2023-10-28 19:11:30: Client = LongDe (ID: 200005), DeviceModel = CPH2241, DeviceGeneration = CPH2241
2023-10-28 19:14:44: Client = LongDe (ID: 200005), DeviceModel = CPH2241, DeviceGeneration = CPH2241
2023-10-28 19:22:50: Client = <color=#0486dc>[GM]</color> AdminHaoKiem (ID: 200001), DeviceModel = SM-G9880, DeviceGeneration = SM-G9880
2023-10-28 19:23:49: Client = KhatMau (ID: 200006), DeviceModel = CPH2159, DeviceGeneration = CPH2159
2023-10-28 19:23:51: Client = LongDe (ID: 200005), DeviceModel = CPH2241, DeviceGeneration = CPH2241
2023-10-28 19:23:57: Client = <color=#0486dc>[GM]</color> AdminHaoKiem (ID: 200001), DeviceModel = SM-G9880, DeviceGeneration = SM-G9880
2023-10-28 19:24:06: Client = ZzAduAduz (ID: 200007), DeviceModel = M2101K7BG, DeviceGeneration = M2101K7BG
2023-10-28 19:24:48: Client = giovohinh (ID: 200008), DeviceModel = 23049RAD8C, DeviceGeneration = 23049RAD8C
2023-10-28 19:26:02: Client = DaSuocMom (ID: 200009), DeviceModel = Aris, DeviceGeneration = Aris
2023-10-28 19:26:10: Client = LongDe (ID: 200005), DeviceModel = CPH2241, DeviceGeneration = CPH2241
2023-10-28 19:26:11: Client = XichLongxxxx (ID: 200010), DeviceModel = CPH1987, DeviceGeneration = CPH1987
2023-10-28 19:26:17: Client = ZzLongzZ (ID: 200011), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 19:26:35: Client = BaoKhang (ID: 200012), DeviceModel = 23021RAAEG, DeviceGeneration = 23021RAAEG
2023-10-28 19:26:47: Client = QuyVuong (ID: 200013), DeviceModel = 2201117TG, DeviceGeneration = 2201117TG
2023-10-28 19:27:36: Client = 0oTieuViemo0 (ID: 200014), DeviceModel = RMX1921, DeviceGeneration = RMX1921
2023-10-28 19:27:47: Client = ShinGG (ID: 200015), DeviceModel = CPH2127, DeviceGeneration = CPH2127
2023-10-28 19:27:49: Client = Sasimi (ID: 200016), DeviceModel = M2007J3SG, DeviceGeneration = M2007J3SG
2023-10-28 19:28:52: Client = VuiVe94 (ID: 200017), DeviceModel = Redmi 8, DeviceGeneration = Redmi 8
2023-10-28 19:28:55: Client = Jinbaby (ID: 200018), DeviceModel = CPH2127, DeviceGeneration = CPH2127
2023-10-28 19:29:03: Client = XoGann (ID: 200019), DeviceModel = SM-A145F, DeviceGeneration = SM-A145F
2023-10-28 19:29:16: Client = KiemVoDanh (ID: 200020), DeviceModel = POCO F2 Pro, DeviceGeneration = POCO F2 Pro
2023-10-28 19:29:36: Client = kontec (ID: 200021), DeviceModel = CPH2083, DeviceGeneration = CPH2083
2023-10-28 19:29:50: Client = giovohinh (ID: 200008), DeviceModel = 23049RAD8C, DeviceGeneration = 23049RAD8C
2023-10-28 19:30:06: Client = Skyriseman (ID: 200022), DeviceModel = SM-N975F, DeviceGeneration = SM-N975F
2023-10-28 19:30:07: Client = NgaoTuyet (ID: 200023), DeviceModel = SM-A715F, DeviceGeneration = SM-A715F
2023-10-28 19:30:08: Client = zztapchoizz (ID: 200024), DeviceModel = Redmi Note 8, DeviceGeneration = Redmi Note 8
2023-10-28 19:30:11: Client = PhiMuc1 (ID: 200025), DeviceModel = SM-A715F, DeviceGeneration = SM-A715F
2023-10-28 19:30:15: Client = AMapS1 (ID: 200026), DeviceModel = Mi 10, DeviceGeneration = Mi 10
2023-10-28 19:30:16: Client = MissVD (ID: 200027), DeviceModel = RMX3370, DeviceGeneration = RMX3370
2023-10-28 19:30:18: Client = Backieuphong (ID: 200028), DeviceModel = CPH2059, DeviceGeneration = CPH2059
2023-10-28 19:30:20: Client = TraDepTaoVe (ID: 200029), DeviceModel = NE2211, DeviceGeneration = NE2211
2023-10-28 19:30:21: Client = zZMapKaZz (ID: 200030), DeviceModel = 2201116TG, DeviceGeneration = 2201116TG
2023-10-28 19:30:29: Client = ZxMilKyWayxZ (ID: 200032), DeviceModel = V2040, DeviceGeneration = V2040
2023-10-28 19:30:30: Client = SoryBaby (ID: 200031), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
2023-10-28 19:30:36: Client = ILOVEYOU (ID: 200033), DeviceModel = SM-N971N, DeviceGeneration = SM-N971N
2023-10-28 19:30:38: Client = androi17 (ID: 200034), DeviceModel = Live, DeviceGeneration = Live
2023-10-28 19:30:41: Client = longka (ID: 200035), DeviceModel = SM-M536B, DeviceGeneration = SM-M536B
2023-10-28 19:30:53: Client = KiepVeSau (ID: 200036), DeviceModel = 22101316G, DeviceGeneration = 22101316G
2023-10-28 19:30:54: Client = XichLongxxxx (ID: 200010), DeviceModel = CPH1987, DeviceGeneration = CPH1987
2023-10-28 19:30:55: Client = ooHAOHANoo (ID: 200037), DeviceModel = CPH2237, DeviceGeneration = CPH2237
2023-10-28 19:30:56: Client = KhatMau (ID: 200006), DeviceModel = CPH2159, DeviceGeneration = CPH2159
2023-10-28 19:31:01: Client = MgKiemCun (ID: 200038), DeviceModel = 23053RN02A, DeviceGeneration = 23053RN02A
2023-10-28 19:31:05: Client = vodanh (ID: 200039), DeviceModel = SM-A325F, DeviceGeneration = SM-A325F
2023-10-28 19:31:19: Client = COFFEE (ID: 200040), DeviceModel = RMX3710, DeviceGeneration = RMX3710
2023-10-28 19:31:23: Client = Junner (ID: 200041), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 19:31:29: Client = MrTaxi (ID: 200042), DeviceModel = SM-A705F, DeviceGeneration = SM-A705F
2023-10-28 19:31:30: Client = ConCuInox (ID: 200044), DeviceModel = RMX3350, DeviceGeneration = RMX3350
2023-10-28 19:31:31: Client = KingCua (ID: 200045), DeviceModel = OPG02, DeviceGeneration = OPG02
2023-10-28 19:31:34: Client = QuanDoLa (ID: 200043), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 19:31:35: Client = HanBaoQuan (ID: 200048), DeviceModel = M2102J20SG, DeviceGeneration = M2102J20SG
2023-10-28 19:31:36: Client = Franky (ID: 200047), DeviceModel = SM-S908N, DeviceGeneration = SM-S908N
2023-10-28 19:31:37: Client = Classic (ID: 200046), DeviceModel = CPH2239, DeviceGeneration = CPH2239
2023-10-28 19:31:38: Client = BaHanCatLong (ID: 200050), DeviceModel = SM-A715F, DeviceGeneration = SM-A715F
2023-10-28 19:31:44: Client = ToiLaAi (ID: 200051), DeviceModel = CPH2471, DeviceGeneration = CPH2471
2023-10-28 19:31:44: Client = mimiiso (ID: 200004), DeviceModel = SM-G975U1, DeviceGeneration = SM-G975U1
2023-10-28 19:31:44: Client = phuongbeoka (ID: 200049), DeviceModel = V2043, DeviceGeneration = V2043
2023-10-28 19:31:50: Client = Dantuyet (ID: 200052), DeviceModel = SM-N971N, DeviceGeneration = SM-N971N
2023-10-28 19:31:55: Client = tuanvu (ID: 200053), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 19:31:57: Client = giovohinh (ID: 200008), DeviceModel = 23049RAD8C, DeviceGeneration = 23049RAD8C
2023-10-28 19:31:59: Client = TieuMaoTac (ID: 200054), DeviceModel = Phone, DeviceGeneration = Phone
2023-10-28 19:32:02: Client = LongCoco (ID: 200055), DeviceModel = 2209116AG, DeviceGeneration = 2209116AG
2023-10-28 19:32:02: Client = BaoCaoSu (ID: 200056), DeviceModel = CPH2365, DeviceGeneration = CPH2365
2023-10-28 19:32:15: Client = lammax100 (ID: 200069), DeviceModel = RMX3710, DeviceGeneration = RMX3710
2023-10-28 19:32:15: Client = HuyetTuDao (ID: 200070), DeviceModel = CPH2237, DeviceGeneration = CPH2237
2023-10-28 19:32:17: Client = KTVChip2 (ID: 200058), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 19:32:17: Client = KTVChip7 (ID: 200066), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 19:32:17: Client = KTVChip0 (ID: 200061), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 19:32:17: Client = KTVChip8 (ID: 200063), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 19:32:17: Client = KTVChip9 (ID: 200062), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 19:32:17: Client = KTVChip (ID: 200064), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 19:32:17: Client = KTVChip4 (ID: 200057), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 19:32:17: Client = KTVChipa (ID: 200059), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 19:32:17: Client = KTVChip3 (ID: 200065), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 19:32:18: Client = KTVChip1 (ID: 200060), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-28 19:32:20: Client = 0oTieuViemo0 (ID: 200014), DeviceModel = RMX1921, DeviceGeneration = RMX1921
2023-10-28 19:32:20: Client = HAISENOO (ID: 200071), DeviceModel = SM-G977N, DeviceGeneration = SM-G977N
2023-10-28 19:32:29: Client = okebaby6 (ID: 200086), DeviceModel = SM-N976N, DeviceGeneration = SM-N976N
2023-10-28 19:32:29: Client = okebaby7 (ID: 200073), DeviceModel = SM-N976N, DeviceGeneration = SM-N976N
2023-10-28 19:32:29: Client = okebaby4 (ID: 200079), DeviceModel = SM-S906N, DeviceGeneration = SM-S906N
2023-10-28 19:32:29: Client = okebaby12 (ID: 200074), DeviceModel = SM-G973N, DeviceGeneration = SM-G973N
2023-10-28 19:32:29: Client = okebaby10 (ID: 200087), DeviceModel = SM-G973N, DeviceGeneration = SM-G973N
2023-10-28 19:32:29: Client = okebaby18 (ID: 200082), DeviceModel = SM-G977N, DeviceGeneration = SM-G977N
2023-10-28 19:32:29: Client = okebaby14 (ID: 200083), DeviceModel = SM-G975N, DeviceGeneration = SM-G975N
2023-10-28 19:32:29: Client = okebaby9 (ID: 200089), DeviceModel = SM-S901N, DeviceGeneration = SM-S901N
2023-10-28 19:32:29: Client = okebaby5 (ID: 200081), DeviceModel = SM-G975N, DeviceGeneration = SM-G975N
2023-10-28 19:32:29: Client = okebaby8 (ID: 200075), DeviceModel = SM-G973N, DeviceGeneration = SM-G973N
2023-10-28 19:32:29: Client = okebaby16 (ID: 200090), DeviceModel = SM-G960N, DeviceGeneration = SM-G960N
2023-10-28 19:32:29: Client = okebaby3 (ID: 200078), DeviceModel = SM-G973N, DeviceGeneration = SM-G973N
2023-10-28 19:32:29: Client = okebaby17 (ID: 200084), DeviceModel = ASUS_Z01QD, DeviceGeneration = ASUS_Z01QD
2023-10-28 19:32:29: Client = okebaby15 (ID: 200076), DeviceModel = ASUS_Z01QD, DeviceGeneration = ASUS_Z01QD
2023-10-28 19:32:29: Client = okebaby1 (ID: 200088), DeviceModel = SM-N976N, DeviceGeneration = SM-N976N
2023-10-28 19:32:29: Client = okebaby19 (ID: 200080), DeviceModel = SM-S908N, DeviceGeneration = SM-S908N
2023-10-28 19:32:30: Client = okebaby11 (ID: 200077), DeviceModel = SM-N960N, DeviceGeneration = SM-N960N
2023-10-28 19:32:30: Client = okebaby13 (ID: 200072), DeviceModel = SM-A908N, DeviceGeneration = SM-A908N
2023-10-28 19:32:30: Client = okebaby2 (ID: 200085), DeviceModel = SM-A908N, DeviceGeneration = SM-A908N
2023-10-28 19:32:35: Client = vodanh12 (ID: 200091), DeviceModel = CPH2473, DeviceGeneration = CPH2473
