2023-10-29 02:24:09: [200122][bbbbbbbb][6|2206|2512]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:36: [203043][yhgjuab][5|5682|3544]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-29 00:03:36: [203074][yhgjuau][5|5682|3544]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-29 00:03:36: [203052][yhgjuax][5|5682|3544]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-29 00:03:36: [203049][yhgjuaz][5|5682|3544]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-29 00:03:36: [203048][yhgjuac][5|5682|3544]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-29 00:03:36: [203051][yhgjuaq][5|5682|3544]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-29 00:03:36: [203053][yhgjuaw][5|5274|3446]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-29 00:04:49: [200300][ConCuInox][71|10230|5679]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :1500| BẠC KHÓA :233617| ĐỒNG  :0| ĐỒNG KHÓA :6500
2023-10-29 00:04:51: [200001][<color=#0486dc>[GM]</color> AdminHaoKiem][5|5247|3439]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-29 00:04:56: [203031][Hshjehdh][5|6294|3228]  HOẠT LỰC :120 | TINH LỰC :120| BẠC :1200| BẠC KHÓA :150000| ĐỒNG  :0| ĐỒNG KHÓA :4000
2023-10-29 00:04:57: [203109][ffsgrt4a1][5|5640|3566]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:57: [203105][ffsgrt4a7][5|5648|3553]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:57: [203110][ffsgrt4a2][5|5257|3461]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:57: [203108][ffsgrt4a4][5|5252|3453]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:57: [203111][ffsgrt4ag][5|5250|3451]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:57: [203104][ffsgrt4a][5|5243|3452]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:57: [203106][ffsgrt4a5][5|5250|3452]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:57: [203107][ffsgrt4a3][5|5647|3553]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:57: [203115][ffsgrt4af][5|5229|3431]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:57: [203114][ffsgrt4ab][5|5244|3465]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:57: [203112][ffsgrt4a6][5|5240|3421]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:57: [203113][ffsgrt4as][5|5238|3420]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:59: [203098][sadvsv2][8|6257|3518]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:59: [203101][sadvsv4][8|6257|3518]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:59: [203099][sadvsv5][8|6257|3518]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:59: [203097][sadvsv][8|6257|3518]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:59: [203102][sadvsv3][8|6257|3518]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:04:59: [203100][sadvsv1][8|6257|3518]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:05:08: [200051][ToiLaAi][111|4040|6360]  HOẠT LỰC :4935 | TINH LỰC :4940| BẠC :60327| BẠC KHÓA :77084| ĐỒNG  :0| ĐỒNG KHÓA :535
2023-10-29 00:05:10: [203121][ggggg955][5|5244|3411]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:05:10: [203118][ggggg55][5|5241|3421]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:05:10: [203120][ggggg755][5|5230|3407]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:05:10: [203116][ggggg855][5|5245|3412]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:05:10: [203117][ggggg655][5|5252|3414]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:05:10: [203119][ggggg155][5|5250|3410]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:05:10: [203123][ggggg555][5|5253|3417]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:05:10: [203122][ggggg455][5|5235|3399]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:05:10: [203125][ggggg255][5|5269|3436]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:05:10: [203124][ggggg355][5|5246|3408]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:05:19: [200041][Junner][16|4060|2422]  HOẠT LỰC :2010 | TINH LỰC :2010| BẠC :1145600| BẠC KHÓA :392772| ĐỒNG  :72000| ĐỒNG KHÓA :118200
2023-10-29 00:06:50: [203128][tttttt8][5|5245|3425]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:06:50: [203129][tttttt9][5|5241|3421]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:06:50: [203130][tttttt6][5|5246|3426]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:06:50: [203126][tttttt1][5|5244|3424]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:06:50: [203131][tttttt][5|5243|3423]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:06:50: [203127][tttttt7][5|5246|3426]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:06:51: [203132][tttttt3][5|5243|3407]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:06:51: [203133][tttttt2][5|5243|3423]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:06:51: [203134][tttttt4][5|5242|3422]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:13: [203139][gfdgds1g][5|5635|3541]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:13: [203141][gfdgds1v][5|5640|3570]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:13: [203143][gfdgds1f][5|5248|3450]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:13: [203142][gfdgds1b][5|5650|3556]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:13: [203137][gfdgds1][5|5235|3422]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:13: [203140][gfdgds1s][5|5254|3457]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:13: [203138][gfdgds1d][5|5254|3455]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:13: [203136][gfdgds1q][5|5643|3556]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:13: [203146][gfdgds1h][5|5247|3448]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:13: [203147][gfdgds1k][5|5234|3415]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:13: [203144][gfdgds1z][5|5236|3417]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:13: [203145][gfdgds1c][5|5242|3464]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:19: [203103][XucNo0][5|8080|3380]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :37500| ĐỒNG  :0| ĐỒNG KHÓA :775
2023-10-29 00:07:28: [203135][tttttt5][5|5090|3270]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:29: [203151][arshdg5][8|6217|3505]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:29: [203150][arshdg][8|6217|3505]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:29: [203155][arshdg2][8|6217|3505]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:29: [203152][arshdg4][8|6217|3505]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:29: [203153][arshdg1][8|6217|3505]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:07:29: [203154][arshdg3][8|6217|3505]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:08:24: [203159][XucNo1][5|8079|3373]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :50000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:08:45: [200300][ConCuInox][71|2789|2100]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :1500| BẠC KHÓA :236517| ĐỒNG  :0| ĐỒNG KHÓA :6500
2023-10-29 00:08:54: [203160][dfbdbaq5][8|6230|3558]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:08:54: [203165][dfbdbaq1][8|6230|3558]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:08:54: [203161][dfbdbaq3][8|6230|3558]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:08:54: [203164][dfbdbaq2][8|6230|3558]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:08:54: [203163][dfbdbaq4][8|6230|3558]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
